"nb_article" "article_ref" "site_nb" "site_ref" "country" "state" "town" "latitude" "longitude" "altitude" "WRB" "prof_max" "sampling_year" "natural_cultivated" "landuse" "modern_paleosol" "ecosystem" "level_top" "level_base" "support" "D14C" "D14C_sigma" "level_stock_kgm.2" "Tann" "Tjan" "TJul" "Pann" "Pjan" "PJul" "aridity" "D14Catm"
"37" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 12 14 "bulk after HCl" 66 NA 0.54 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"38" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 16 18 "bulk after HCl" 62 NA 0.45 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"39" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 20 22 "bulk after HCl" 25 NA 0.37 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"40" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 24 26 "bulk after HCl" 13 NA 0.29 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"41" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 28 30 "bulk after HCl" -70.66 NA 0.23 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"42" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 32 34 "bulk after HCl" 3 NA 0.18 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"43" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 36 38 "bulk after HCl" -101.15 NA 0.15 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"44" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 40 60 "bulk after HCl" -58.78 NA 1.38 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"45" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 70 80 "bulk after HCl" -126.52 NA 0.73 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"46" 3 "Chen_2002_Catena" 7 "forest" "China" NA "Dinghushan Biosphere Reserve" 23.17 112.53 662 "ferralsol" "NA" 1998 "natural" "natural-forest" "modern soil" "forest" 90 110 "bulk after HCl" -567.69 NA 1.03 21.5 13 28.5 1744.7 43.1 212.1 1.542 97.2
"59" 6 "Rumpel_2002_OrgGeochem" 19 "Waldstein" "Germany" "Bavaria" "Fichtelgebirge" 50.1 11.85 805 "podzol" "NA" 1996 "natural" "natural-forest" "modern soil" "forest" 0 10 "bulk" -68 "3" 2.9 6.4 -3.2 15.5 722.5 52.2 74.1 1.152 105.6
"60" 6 "Rumpel_2002_OrgGeochem" 19 "Waldstein" "Germany" "Bavaria" "Fichtelgebirge" 50.1 11.85 805 "podzol" "NA" 1996 "natural" "natural-forest" "modern soil" "forest" 10 12 "bulk" -20 "3" 1.04 6.4 -3.2 15.5 722.5 52.2 74.1 1.152 105.6
"61" 6 "Rumpel_2002_OrgGeochem" 19 "Waldstein" "Germany" "Bavaria" "Fichtelgebirge" 50.1 11.85 805 "podzol" "NA" 1996 "natural" "natural-forest" "modern soil" "forest" 12 30 "bulk" -94 "3" 5.47 6.4 -3.2 15.5 722.5 52.2 74.1 1.152 105.6
"62" 6 "Rumpel_2002_OrgGeochem" 19 "Waldstein" "Germany" "Bavaria" "Fichtelgebirge" 50.1 11.85 805 "podzol" "NA" 1996 "natural" "natural-forest" "modern soil" "forest" 30 55 "bulk" -182 "3" 2.09 6.4 -3.2 15.5 722.5 52.2 74.1 1.152 105.6
"63" 6 "Rumpel_2002_OrgGeochem" 19 "Waldstein" "Germany" "Bavaria" "Fichtelgebirge" 50.1 11.85 805 "podzol" "NA" 1996 "natural" "natural-forest" "modern soil" "forest" 70 80 "bulk" -383 "3" 0.19 6.4 -3.2 15.5 722.5 52.2 74.1 1.152 105.6
"64" 6 "Rumpel_2002_OrgGeochem" 20 "Steinkreuz" "Germany" "Bavaria" "Steigenwald" 49.872 10.461 450 "cambisol" "NA" 1996 "natural" "natural-forest" "modern soil" "forest" 0 5 "bulk" 123 "3" 4.29 8.4 -1.1 17.4 673.3 44.6 69.5 1.039 105.6
"65" 6 "Rumpel_2002_OrgGeochem" 20 "Steinkreuz" "Germany" "Bavaria" "Steigenwald" 49.872 10.461 450 "cambisol" "NA" 1996 "natural" "natural-forest" "modern soil" "forest" 5 24 "bulk" 13 "3" 2.41 8.4 -1.1 17.4 673.3 44.6 69.5 1.039 105.6
"66" 6 "Rumpel_2002_OrgGeochem" 20 "Steinkreuz" "Germany" "Bavaria" "Steigenwald" 49.872 10.461 450 "cambisol" "NA" 1996 "natural" "natural-forest" "modern soil" "forest" 24 50 "bulk" -83 "3" 0.79 8.4 -1.1 17.4 673.3 44.6 69.5 1.039 105.6
"67" 6 "Rumpel_2002_OrgGeochem" 20 "Steinkreuz" "Germany" "Bavaria" "Steigenwald" 49.872 10.461 450 "cambisol" "NA" 1996 "natural" "natural-forest" "modern soil" "forest" 50 80 "bulk" -195 "3" 0.4 8.4 -1.1 17.4 673.3 44.6 69.5 1.039 105.6
"68" 6 "Rumpel_2002_OrgGeochem" 20 "Steinkreuz" "Germany" "Bavaria" "Steigenwald" 49.872 10.461 450 "cambisol" "NA" 1996 "natural" "natural-forest" "modern soil" "forest" 85 115 "bulk" -201 "3" 0.14 8.4 -1.1 17.4 673.3 44.6 69.5 1.039 105.6
"69" 6 "Rumpel_2002_OrgGeochem" 20 "Steinkreuz" "Germany" "Bavaria" "Steigenwald" 49.872 10.461 450 "cambisol" "NA" 1996 "natural" "natural-forest" "modern soil" "forest" 115 140 "bulk" -240 "3" 0.07 8.4 -1.1 17.4 673.3 44.6 69.5 1.039 105.6
